Property Name,plug_load_consumption,ac_consumption,domestic_gas,heating_gas
NYSERDA_Energy_Assessment_-_Island_Bay_Grill_and_Lounge,12.63767847,1.24402089,0.75567522,0.806243585
MountLebanonBaptistChurch,10.72618377,2.389513524,0.072817375,0.263627561
SouthIslandMedicalAssociates,6.733903739,1.889032342,0.322599638,0.57959223
NYSERDA_Energy_Assessment_-_DAC_Unisex_Beauty_Salon,14.62159848,4.583801141,0.622908318,0.904659735
NYSERDA_Energy_Assessment_-_Nelly's_Nails_and_More,9.252877272,3.041561364,0.123185352,1.678320175
JohnLeporeInsuranceAgencyInc,8.214417884,1.333895529,0.628839944,0.881580028
NYSERDA_Energy_Assessment_-_Pilgrim_Church_of_Arverne,6.663307702,1.795378973,0.020324756,0.729646517
NYSERDA_Energy_Assessment_-_1011_Tavern_Corp_-_Evelyn,34.62659838,4.203384545,0.322599638,0.57959223
CongregationKnessethBaisYaakov,31.06380465,5.655447289,0.034741191,0.744458809
TheStarPeople'sLaundromat,13.62358644,2.009402259,4.04714962,0.691344698
FirstCentralBaptistChurch,4.19004544,1.05462335,0.014669148,0.171185639
CAAABagels,66.55766861,14.7474438,4.226072264,0.325951824
NYSERDA_Energy_Assessment_Report_-_World_Champions_Karate,5.184105305,1.196938572,0.20363922,0.465249447
PaninicoCafeReport,56.22216248,14.77873855,2.767528115,1.341849228
Curran'sSuperiorMeatsReport,47.59406893,10.59679312,1.144460385,0.428884904
Sigma_AlphaLLCReport,5.328650492,2.848552332,0.322599638,0.57959223
ThaiRock,14.37370495,2.59972129,0.360459895,1.007950087
SaintJohnAMEChurch,4.812969592,2.728716412,0.068733356,0.277840437
ArverneChurchofGod-COGCA,13.23584938,2.530386617,0.135057442,0.705468567
ArverneChurchofGod,11.82682711,1.960057297,0.270921306,1.772506827
SaintPaulsChurch-OfficeAuditorium,1.707258773,0.081024854,0.018924078,0.110041817
SaintPaulsChurchRectory,1.272268767,0.049233582,0.047476906,0.327414462
SaintPaulsChurchRectory,1.272268767,0.049233582,0.047476906,0.327414462
GloverMemorialBaptistChurch,2.119974686,0.364748535,0.181762591,0.443632916
GatewayChristianCenter,4.823929393,1.178334481,0.014205602,0.002102632
NewTestamentChristianChurch,9.851185956,1.0758177,0.322599638,0.57959223
BrooklynLegalServicesCorpA,10.4912273,1.247200992,0.17626613,0.209263683
JesusTheGoodShepherdChurchReport,4.556191536,1.725074748,0.018650987,0.02764164
LunaNYCafeCorpReport,61.53712907,3.384529556,0.322599638,0.57959223
ChurchoftheLivingHopeReport,1.121467186,0.090291838,0.097964685,0.441250375
